id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Late Night Texts,Velvet Groove,r&b,romantic,0.55,92,0.74,0.70,0.45
12,Concrete Jungle,MC Prism,hip-hop,energetic,0.85,140,0.62,0.84,0.08
13,Rainy Window,Glass Aria,classical,melancholic,0.22,66,0.35,0.30,0.95
14,Bass Cathedral,DJ Strobe,electronic,energetic,0.95,128,0.72,0.92,0.03
15,Abuelita's Kitchen,Sol y Sombra,latin,nostalgic,0.68,104,0.78,0.76,0.52
16,Iron Chorus,Blackveil,metal,aggressive,0.97,170,0.30,0.45,0.06
17,Golden Hour,Honeydew,folk,dreamy,0.33,88,0.80,0.48,0.91
18,Funk District,Brass Monkeys,funk,happy,0.81,116,0.85,0.90,0.28
19,Empty Hallways,Pale Signal,alternative,melancholic,0.50,98,0.32,0.44,0.60
20,Cumbia del Sol,Los Rayos,latin,happy,0.74,108,0.88,0.86,0.40
